Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Reunion,2005–2006,N/A,08 Sep 2005,60 min,"Drama, Mystery",N/A,"Jon Harmon Feldman, Sara Goodman","Dave Annable, Alexa Davalos, Will Estes",Six friends come together for their 20th high school reunion in which one of them is murdered and all of them become suspects. A detective traces their turbulent and secretive lives back spanning 20 years to find which one had the...,English,United States,https://m.media-amazon.com/images/M/MV5BYmRlNzhkN2ItYzcwOC00YmIzLTgzMDItOTY3ZjViMDM2NGQzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,1,,,,
Eleven Minutes,2008,R,05 Apr 2008,103 min,Documentary,"Michael Selditch, Robert Tate",N/A,"Jay McCarroll, Kelly Cutrone, Daniel Alexander","Feature documentary following fashion designer, Jay McCarroll's year-long journey preparing his first independent runway show and selling his clothing line to stores.",English,United States,https://m.media-amazon.com/images/M/MV5BNzA4MTIzNTkwM15BMl5BanBnXkFtZTcwNjc3ODQyMg@@._V1_SX300.jpg,,,,,
Louise Bourgeois,2008,Not Rated,N/A,52 min,Documentary,Camille Guichard,N/A,Louise Bourgeois,A documentary about Louise Bourgeois by director Camille Guichard. Bourgeois created art for more than fifty years and at the time of filming was still creating.,French,France,N/A,,,,,
Jazz in the Diamond District,2008,R,N/A,79 min,Drama,Lindsey Christian,"Sia Barnes, Erica Chamblee, Lindsey Christian","Monique Cameron, Wood Harris, Clifton Powell","When Jasmine ""Jazz"" Morgan loses her mother to a long-time battle with lung cancer, she can only focus on one thing - becoming a famous singer. Ignoring the wishes of her father, Blair Morgan a strict doctor who prefers that she r...",English,United States,https://m.media-amazon.com/images/M/MV5BMjI1NTc5OTU4NV5BMl5BanBnXkFtZTgwMjAyODk1NzE@._V1_SX300.jpg,,,,,
Looking for Palladin,2008,R,30 Oct 2009,115 min,Comedy,Andrzej Krakowski,Andrzej Krakowski,"Ben Gazzara, David Moscow, Talia Shire","A young Hollywood player is drawn into a remote place looking for a quick deal and instead finds a sanctuary, a community, and ultimately himself.",English,United States,https://m.media-amazon.com/images/M/MV5BMjA0ODk2MDE0Ml5BMl5BanBnXkFtZTcwNTQ5MTkxNA@@._V1_SX300.jpg,,,,,
Cowboy and Lucky,2009,N/A,23 Oct 2009,N/A,Action,Russell Clay,N/A,"Russell Clay, Chris Cox, Nikki Donley, Michelangelo Flores","When a bust goes bad and reveals Cowboy and Lucky's involvement, the brothers are motivated more by survival than loyalty to Loretta in finding the culprits and stopping Carlisle in his tracks.",English,USA,https://m.media-amazon.com/images/M/MV5BMjA3NDY5MjU2Ml5BMl5BanBnXkFtZTcwNzYyMDIwMw@@._V1_SX300.jpg,,,,,
I Sell the Dead,2008,Not Rated,16 Jan 2009,85 min,"Comedy, Horror",Glenn McQuaid,"Glenn McQuaid, Keti Stamo","Dominic Monaghan, Ron Perlman, Larry Fessenden",A grave robber reflects on his life of crime.,English,United States,https://m.media-amazon.com/images/M/MV5BMTkyMzIxNDQ4MV5BMl5BanBnXkFtZTcwMzk4MjU3Mg@@._V1_SX300.jpg,,,,,
Munyurangabo,2007,Not Rated,15 May 2008,97 min,Drama,Lee Isaac Chung,"Samuel Gray Anderson, Lee Isaac Chung","Jeff Rutagengwa, Eric Ndorunkundiye, Jean Marie Vianney Nkurikiyinka","From opposing ethnicities, Ngabo and Sangwa are tested when old-timers warn, ""Hutus and Tutsis should not be friends."" An intense and inspiring portrait of youth in Rwanda, 'Munyurangabo' features Poet Laureate Edouard Uwayo deliv...",Kinyarwanda,"Rwanda, United States",https://m.media-amazon.com/images/M/MV5BMjA2NDA2NzkyN15BMl5BanBnXkFtZTcwOTA3OTA1Mg@@._V1_SX300.jpg,,,,,
Scott Walker: 30 Century Man,2006,Not Rated,27 Apr 2007,95 min,"Documentary, Biography, Music",Stephen Kijak,N/A,"Sara Kestelman, Arnie Potts, Jarvis Cocker",A documentary on the influential musician Scott Walker.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTMyODkzOTE4MF5BMl5BanBnXkFtZTcwMzM4MjU0Mg@@._V1_SX300.jpg,,,,,
Mutant Chronicles,2008,R,10 Oct 2008,111 min,"Action, Adventure, Mystery",Simon Hunter,Philip Eisner,"Thomas Jane, Ron Perlman, Devon Aoki",28th century soldier Mitch Hunter leads a fight against an army of underworld Mutants.,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTEzMTQ4MjQ1ODFeQTJeQWpwZ15BbWU4MDU4MTUyNTEx._V1_SX300.jpg,,,,,
Lifelines,2008,Not Rated,03 Apr 2009,91 min,"Comedy, Drama",Rob Margolies,Rob Margolies,"Jane Adams, Josh Pais, Joe Morton","A day that starts like any other turns out to be one family's bitterly hilarious, ultimately painful, day-long journey of self-realization. ""Lifelines"" chronicles the hapless Bernstein family - Ira, Nancy, Michael, Meghan and Spen...",English,United States,https://m.media-amazon.com/images/M/MV5BNTIyNjAxNDc4NF5BMl5BanBnXkFtZTcwOTEzMjMzMg@@._V1_SX300.jpg,,,,,
The New Year Parade,2008,N/A,09 Mar 2008,85 min,Drama,Tom Quinn,Tom Quinn,"Paul Blackway, Andrew Conway, Anthony DiFulvio","When Mike and Lisa separate, their children suffer quietly in the middle of the annual Mummer's Parade.",English,United States,https://m.media-amazon.com/images/M/MV5BOGQwYWYzMGEtODcxZi00ZGY3LThhZDEtZTg1YTQyZDExMDFlXkEyXkFqcGdeQXVyNTI2ODM4MTY@._V1_SX300.jpg,,,,,
The Skeptic,2009,Not Rated,24 Jun 2010,89 min,"Horror, Thriller",Tennyson Bardwell,Tennyson Bardwell,"Tim Daly, Tom Arnold, Zoe Saldana",A lawyer who doesn't believe in ghosts is haunted after moving into a family mansion.,English,United States,https://m.media-amazon.com/images/M/MV5BMjE2NjQ2NzEwMl5BMl5BanBnXkFtZTcwNjA2ODI1Mg@@._V1_SX300.jpg,,,,,
The Perfect Sleep,2009,R,13 Mar 2009,99 min,"Action, Drama, Romance",Jeremy Alter,Anton Pardoe,"Anton Pardoe, Anthony Dilio, David Beck","Against the backdrop of a noirish dreamscape, a tortured man returns to the city he swore he would never return to, in order to save the woman he has always loved yet can never have.",English,United States,https://m.media-amazon.com/images/M/MV5BM2U5NGEwNmMtYjcwYy00YzMwLWJiNTItZTNiOGQ3OWQ4N2JmXkEyXkFqcGdeQXVyMjA1NTc3MQ@@._V1_SX300.jpg,,,,,
The Good Soldier,1981,Not Rated,09 Jan 1983,120 min,"Drama, Romance",Kevin Billington,"Ford Madox Ford, Julian Mitchell","Robin Ellis, Vickery Turner, Jeremy Brett","A romantic tragedy about two turn-of-the-century couples - one American, one British - who regularly vacation together at a spa in Germany.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTM0MTQxMTYzMl5BMl5BanBnXkFtZTcwNTY3NjI0MQ@@._V1_SX300.jpg,,,,,
The Bride,2015,Not Rated,05 Aug 2016,96 min,"Drama, Romance",Paula Ortiz,"Javier García Arredondo, Federico García Lorca, Paula Ortiz","Inma Cuesta, Álex García, Asier Etxeandia","As the Bride and the Groom prepare for the wedding in the pale desert, a tale of unappeased desires; forbidden yearnings, and conflicted choices unfolds. Now, three lovers stand powerless before the true nature of man. Is fate una...",Spanish,"Spain, Germany",https://m.media-amazon.com/images/M/MV5BMTUwOTkzMDQwNV5BMl5BanBnXkFtZTgwMzEwNDA1NzE@._V1_SX300.jpg,,,,,
Waiting for Dublin,2007,N/A,13 Mar 2009,83 min,Romance,Roger Tucker,Chuck Conaway,"Des Braiden, Joe Cassidy, Guido De Craene","On New Year's Eve 1944, American pilot Mike Clarke inadvertently bets Al Capone's nephew $10,000.00 that he can shoot down five enemy aircraft. Later, forced to land near a remote village in Ireland after running out of fuel, Mike...",English,Belgium,https://m.media-amazon.com/images/M/MV5BMTAyODE1OTkzNTdeQTJeQWpwZ15BbWU3MDU2ODQ1MzI@._V1_SX300.jpg,,,,,
Lake Tahoe,2008,Not Rated,28 Nov 2008,89 min,Drama,Fernando Eimbcke,"Fernando Eimbcke, Paula Markovitch","Diego Cataño, Hector Herrera, Daniela Valentine",A story of a teenager and the strange events that take place in his small town.,"Spanish, English, Italian","Mexico, Japan, United States",https://m.media-amazon.com/images/M/MV5BMTkwNzA4MDU0M15BMl5BanBnXkFtZTcwNTE3OTA1Mg@@._V1_SX300.jpg,,,,,
Momma's Man,2008,Not Rated,08 May 2009,94 min,"Comedy, Drama",Azazel Jacobs,Azazel Jacobs,"Matt Boren, Flo Jacobs, Ken Jacobs",A man who has avoided his wife and child at home has a change of heart after an imposed stay in his own parents' loft.,English,United States,https://m.media-amazon.com/images/M/MV5BMTcwNDgyOTk3M15BMl5BanBnXkFtZTcwMjIxNzI5MQ@@._V1_SX300.jpg,,,,,
Gogol Bordello Non-Stop,2008,Not Rated,11 Sep 2009,90 min,Documentary,Margarita Jimeno,N/A,"Manu Chao, Susan Donaldson, Eliot Ferguson",A behind-the-scenes look at the gypsy punk band Gogol Bordello and their charismatic front man Eugene Hütz.,"Russian, Spanish, English",United States,https://m.media-amazon.com/images/M/MV5BMjAxNjgxOTEzM15BMl5BanBnXkFtZTcwNjA5MTg5Mg@@._V1_SX300.jpg,,,,,
What Goes Up,2009,R,29 May 2009,115 min,"Comedy, Drama",Jonathan Glatzer,"Jonathan Glatzer, Robert C. Lawson","Steve Coogan, Hilary Duff, Olivia Thirlby",Set in the mid-80's when a reporter is sent to cover the Challenger Space Shuttle launch only to become mixed up in the lives of some local students.,English,United States,https://m.media-amazon.com/images/M/MV5BMTM5Mzg4Njg2OF5BMl5BanBnXkFtZTcwODc1NDE1Mg@@._V1_SX300.jpg,,,,,
Antarctica,1983,G,23 Jul 1983,143 min,"Adventure, Drama",Koreyoshi Kurahara,"Tatsuo Nogami, Susumu Saji, Toshirô Ishidô","Ken Takakura, Tsunehiko Watase, Eiji Okada","Two Japanese scientists, Ushioda and Ochi, develop a bond with their sled dogs while on an expedition in Antarctica. Ushioda and Ochi eventually leave Antarctica, only to return to search for the dogs inadvertently marooned there.","Japanese, Italian",Japan,https://m.media-amazon.com/images/M/MV5BYzQyOGU0OTYtNTY0NC00MmQxLTljMDEtZWVkZmNhN2VjMDgwXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,,,,,
Dhoondte Reh Jaoge,2009,N/A,06 Mar 2009,131 min,"Comedy, Drama",Umesh Shukla,"Shabbir Ahmed, Rajeev Jhaveri, Jalees Sherwani","Paresh Rawal, Kunal Khemu, Sonu Sood",A failed film producer and an unemployed Chartered Accountant decide to make a 'sure flop' movie,Hindi,India,https://m.media-amazon.com/images/M/MV5BZjlkMDg4YWYtMjk0My00YzZmLTg3MTYtMTQyYWUxNGM0YTc2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
The Strip,1951,Passed,01 Aug 1951,85 min,"Crime, Drama, Film-Noir",László Kardos,Allen Rivkin,"Mickey Rooney, Sally Forrest, William Demarest","Drummer Stanley Maxton moves to Los Angeles with dreams of opening his own club, but falls in with a gangster and a nightclub dancer and ends up accused of murder.",English,United States,https://m.media-amazon.com/images/M/MV5BNGQ0NzNmYjItZmRhYy00Mzk4LWI3NDctNjQyYTNmZWRjNzRlXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Gigante,2013,N/A,29 Sep 2013,5 min,"Short, Fantasy","Jacobo León, Marco Saenz","Elena Saenz, Moctezuma Torres",Moctezuma Torres,"Lennin, a woodcutter legacy of vocation is about to face the last of the living trees.",None,Mexico,N/A,,,,,
The Death Factory Bloodletting,2008,Not Rated,06 May 2008,87 min,Horror,Sean Tretta,"Mike Marsh (screenplay), Brad Sykes (characters created by), Sean Tretta (screenplay)","Claudia Vargas, Noah Todd, Shane Dean, Kareem McRoy","""Death Factory: Bloodletting"" ('Saw' meets 'Hostel') is a horror film about a group of online deviants who are invited to an abandoned factory to witness a ""bloodletting"", an event ...",English,USA,https://m.media-amazon.com/images/M/MV5BMTUzNzE3MjE3OV5BMl5BanBnXkFtZTcwOTc4NTk5Mw@@._V1_SX300.jpg,,,,,
Death of a Ghost Hunter,2007,Not Rated,28 Oct 2007,107 min,"Horror, Thriller",Sean Tretta,"Mike Marsh, Sean Tretta","Patti Tindall, Mike Marsh, Davina Joy","Renowned ""ghost hunter"", Carter Simms is paid to conduct a paranormal investigation of a supposedly haunted house. Along with a cameraman, a reporter, and a spiritual advocate, she embarks on a three night journey into terror.",English,United States,https://m.media-amazon.com/images/M/MV5BODg1MzcyMDQwNV5BMl5BanBnXkFtZTgwNDAzMjA2MDE@._V1_SX300.jpg,,,,,
The Ministers,2009,R,16 Oct 2009,89 min,"Crime, Drama",Franc. Reyes,Franc. Reyes,"John Leguizamo, Harvey Keitel, Florencia Lozano","A NYPD detective attempts to avenge the death of her father, but unwittingly becomes involved with one of his killers.",English,United States,https://m.media-amazon.com/images/M/MV5BODg0NjM3NTE1Nl5BMl5BanBnXkFtZTcwMTAxNDE4Mg@@._V1_SX300.jpg,,,,,
Call + Response,2008,PG-13,10 Oct 2008,86 min,"Documentary, History, Music",Justin Dillon,"Justin Dillon, Shadd Williams","Madeleine Albright, Kevin Bales, David Batstone",Fair Trade Pictures to support human rights activism against human trafficking and slavery on a community level.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQzMzg0NDgwNl5BMl5BanBnXkFtZTcwMzA2NzE0Mg@@._V1_SX300.jpg,,,,,
Alexandra,2006,N/A,01 Apr 2008,24 min,"Short, Drama",Radu Jude,"Andrei Butica, Radu Jude, Augustina Stanciu","Serban Pavlu, Alexandra Pascu, Gabriel Spahiu","Tavi,a forty-year-old divorced father, comes to his ex-wife's home to repair his four-year-old daughter bike, Alexandra. He realizes with amazement that Alexandra does not call him ""Daddy"" any more. He asks an explanation from his...",Romanian,Romania,https://m.media-amazon.com/images/M/MV5BODMzNDljYWEtNDU5Yy00NDFlLWJhYzUtM2E5ZDUyOWFjOWRiXkEyXkFqcGdeQXVyMDM1MzIyMQ@@._V1_SX300.jpg,,,,,
Bob Funk,2009,R,20 Mar 2009,106 min,"Comedy, Drama",Craig Carlisle,Craig Carlisle,"Rachael Leigh Cook, Alyssa Bartholomew, Robert John Brewer","After he's fired from his job -- by his mother, no less -- Bob Funk agrees to quit drinking, see a therapist, and eventually report to a new boss, who might just be the woman of his dreams.",English,United States,https://m.media-amazon.com/images/M/MV5BNzJkMTE5OTAtZmY1NS00M2ZmLThmYmQtYjg5YjQxMDliNmIxXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
The Marc Pease Experience,2009,PG-13,21 May 2010,84 min,"Comedy, Drama, Music",Todd Louiso,"Jacob Koskoff, Todd Louiso","Jason Schwartzman, Ben Stiller, Anna Kendrick","Former high school musical star, Marc Pease, finds himself still living in the past, eight years after graduating.",English,United States,https://m.media-amazon.com/images/M/MV5BMTI4NzA0MzE1OV5BMl5BanBnXkFtZTcwNzg2OTI4Mg@@._V1_SX300.jpg,,,,,
Eden,2012,R,19 Jul 2013,98 min,"Crime, Drama, Thriller",Megan Griffiths,"Richard B. Phillips, Megan Griffiths, Chong Kim","Jamie Chung, Beau Bridges, Matt O'Leary","A young Korean-American girl, abducted and forced into prostitution by domestic human traffickers, cooperates with her captors in a desperate ploy to survive.","English, Chinese, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNzAxNTg3NTUzN15BMl5BanBnXkFtZTcwMTMwMDcwOQ@@._V1_SX300.jpg,,,,,
Afterschool,2008,Not Rated,01 Oct 2008,120 min,"Drama, Mystery",Antonio Campos,Antonio Campos,"Ezra Miller, Jeremy Allen White, Emory Cohen",An Internet-addicted prep-school student captures on video camera the drug overdose of two girls.,English,United States,https://m.media-amazon.com/images/M/MV5BZTgwYzg0ZjAtN2NiZC00N2M1LWJlMjgtYTY3ZGI2YjY4NGRhXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg,,,,,
Pontypool,2008,Not Rated,18 Sep 2009,93 min,"Horror, Sci-Fi",Bruce McDonald,Tony Burgess,"Stephen McHattie, Lisa Houle, Georgina Reilly",A radio host interprets the possible outbreak of a deadly virus which infects the small Ontario town he is stationed in.,"English, French, Armenian",Canada,https://m.media-amazon.com/images/M/MV5BNWZkMmNmNGItM2MwNC00YTY2LTk0ZDYtMGM0YjM5Nzk0MjVjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Cadillac Records,2008,R,05 Dec 2008,109 min,"Biography, Drama, Music",Darnell Martin,Darnell Martin,"Adrien Brody, Jeffrey Wright, Beyoncé",Chronicles the rise of Chess Records and its recording artists.,English,United States,https://m.media-amazon.com/images/M/MV5BMTIzMzA5MTgzN15BMl5BanBnXkFtZTcwNzUxMzIwMg@@._V1_SX300.jpg,,,,,
Gooby,2009,PG,17 Apr 2009,95 min,"Family, Fantasy",Wilson Coneybeare,Wilson Coneybeare,"Robbie Coltrane, David James Elliott, Ingrid Kavelaars","Eleven year old Willy's childhood toy, Gooby, comes to life as a real, live, six-foot tall monster who helps Willy through rough times, with hair-raising and hilarious adventures.",English,Canada,https://m.media-amazon.com/images/M/MV5BMjExMzU2MDc0MV5BMl5BanBnXkFtZTcwOTIzMTkyMg@@._V1_SX300.jpg,,,,,
"Otto; or, Up with Dead People",2008,Not Rated,18 Sep 2008,94 min,"Comedy, Drama, Fantasy",Bruce La Bruce,Bruce La Bruce,"Jey Crisfar, Marcel Schlutt, Nicholas Fox Ricciardi","Otto is a handsome, sensitive, neo-Goth zombie with an identity crisis wandering the streets of the city, until one day he auditions for a zombie film...","English, German","Germany, Canada",https://m.media-amazon.com/images/M/MV5BNWFlYmI5ZDctNDA2MS00NWFlLWIwMDctYjk3MGNhNjNkNTA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Familiar Strangers,2008,PG-13,27 Mar 2008,86 min,"Comedy, Drama",Zackary Adler,John Bell,"Shawn Hatosy, DJ Qualls, Tom Bower","Asks the question, Is it really possible to relate to ones parents and siblings after being replaced by the family dog? . . . Perhaps as friends - weird friends?",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ4NjYxNDc4Nl5BMl5BanBnXkFtZTcwNjEzMjY2MQ@@._V1_SX300.jpg,,,,,
Ricky,2009,Not Rated,16 Dec 2009,89 min,"Comedy, Drama, Fantasy",François Ozon,"Emmanuèle Bernheim, François Ozon, Rose Tremain","Alexandra Lamy, Sergi López, Mélusine Mayance","When Katie, an ordinary woman, meets Paco, an ordinary man, something magical happens: a love story. From this union an extraordinary child is born: Ricky.",French,"France, Italy",https://m.media-amazon.com/images/M/MV5BOTgxNWVkYmYtMzUxNS00YTM1LTg3YjktYzQ4ODQxMWVhYmJiXkEyXkFqcGdeQXVyMTAyNTQ0MTk@._V1_SX300.jpg,,,,,
Sandstorm,2004,Not Rated,20 Nov 2004,76 min,Drama,Michael Mahonen,Michael Mahonen,"Lili Li, Angela Huang, Steve Hong",Already trapped at home for 12 days in a massive sandstorm. A policeman cares for his dying wife as they are running out of food and water and mourning the disappearance of their child in the storm.,Mandarin,Canada,https://m.media-amazon.com/images/M/MV5BMTI4NTIwNjQyNF5BMl5BanBnXkFtZTcwNDUzNDY3Mg@@._V1_SX300.jpg,,,,,
Humble Pie,2009,N/A,N/A,4 min,"Animation, Short",Marcus Zilz,N/A,N/A,N/A,German,Germany,N/A,,,,,
Devil Girl,2007,Not Rated,11 Nov 2009,83 min,Thriller,Howie Askins,"Howie Askins, Tracy Wilcox Gillie","Jessica Graham, Joe Wanjai Ross, Vanessa Kay","Fay is a small town girl on a cross country road trip, trying to escape her own reality after the death of her father. When her muscle car breaks down during a drag race she finds herself stranded along route 66 in an isolated des...",English,United States,https://m.media-amazon.com/images/M/MV5BMTU3Nzk5MzMzOV5BMl5BanBnXkFtZTcwNjc5MjU1MQ@@._V1_SX300.jpg,,,,,
Made in Jamaica,2006,N/A,13 Jun 2007,120 min,"Documentary, Music",Jérôme Laperrousaz,Jérôme Laperrousaz,"Brick and Lace, Capleton, Stephen 'Cat' Coore","A powerful portrait of the leaders of the reggae music Movement, and how Reggae has become a worldwide phenomenon. The film showcases performances by the best Reggae and Dance Hall artists ever assembled.",English,"France, United States",https://m.media-amazon.com/images/M/MV5BMTc1OTU5NTkwMV5BMl5BanBnXkFtZTcwOTE5NDExNA@@._V1_SX300.jpg,,,,,
The Blue Tooth Virgin,2008,R,12 Jun 2008,80 min,"Comedy, Drama",Russell Brown,Russell Brown,"Austin Peck, Bryce Johnson, Roma Maffia","Two writers must face a dilemma that is common to anyone who has ever had an artistic friend: what happens when you have to give feedback, and the news isn't good? Sam, an aspiring screenwriter, and David, a successful magazine ed...",English,United States,https://m.media-amazon.com/images/M/MV5BNDUzMTQ3MjkyNV5BMl5BanBnXkFtZTcwNzQyMDQ3Mg@@._V1_SX300.jpg,,,,,
Breakfast with Scot,2007,PG-13,16 Nov 2007,95 min,"Comedy, Drama, Music",Laurie Lynd,"Michael Downing, Sean Reycraft","Tom Cavanagh, Ben Shenkman, Noah Bernett","Eric, a sports announcer and former hockey player, doesn't know how to deal with the flamboyant young boy to whom he and his partner suddenly become guardians.",English,Canada,https://m.media-amazon.com/images/M/MV5BMjE0ODAxOTEyMl5BMl5BanBnXkFtZTcwMTU1NjM5MQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
America Betrayed,2008,Not Rated,04 Sep 2008,95 min,Documentary,Leslie Carde,N/A,"Robert Bea, George W. Bush, Joey DiFatta","One of America's proudest achievements, our national infrastructure, is now its most dangerous embarrassment. Our bridges, dams, levees and highways are crumbling, toppling, being washed away, and putting us all at risk.",English,United States,https://m.media-amazon.com/images/M/MV5BMjIzMTYxODkzNF5BMl5BanBnXkFtZTcwNzE4MDk0Mg@@._V1_SX300.jpg,,,,,
Give Me Your Hand,2008,Unrated,18 Feb 2009,80 min,"Drama, Romance",Pascal-Alex Vincent,"Pascal-Alex Vincent, Olivier Nicklaus, Martin Drouot","Alexandre Carril, Victor Carril, Anaïs Demoustier",Twin 18-year-olds hitchhike to their mother's funeral in Spain. The journey changes their lives forever.,"French, Spanish, English","France, Germany",https://m.media-amazon.com/images/M/MV5BMjYxNjM2MDUwM15BMl5BanBnXkFtZTcwOTQ3NDgxMw@@._V1_SX300.jpg,,,,,
The Village Barbershop,2008,R,29 Feb 2008,99 min,"Comedy, Drama",Chris J. Ford,Chris J. Ford,"John Ratzenberger, Shelly Cole, Cindy Pickett",A fading smalltime barber is forced to hire the last person on earth he'd want working in his shop - a woman.,English,United States,https://m.media-amazon.com/images/M/MV5BMTI5OTUxNjc4NF5BMl5BanBnXkFtZTcwODQ2MTU1MQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Sikandar,2009,N/A,21 Aug 2009,110 min,"Crime, Drama, Mystery","Piyush Jha, Arjun Gaikwad","Piyush Jha, Kumaar","Parzaan Dastur, Ayesha Kapoor, Sanjay Suri","14-year-old Sikandar Raza has been living with his uncle and aunt in Kashmir, ever since his parents were killed by militants 10 years ago. The young boy, who dreams of a better life for his family by realizing his football talent...","Hindi, Urdu",India,https://m.media-amazon.com/images/M/MV5BNzA4NzU5NWItMjVlMC00ZWYwLTliOGEtZGQ0YzI5ZGVlOWZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Shuttle,2008,R,12 Feb 2009,107 min,"Crime, Drama, Mystery",Edward Anderson,Edward Anderson,"Tony Curran, Peyton List, Cameron Goodman",A late night airport shuttle ride home descends into darkness.,English,United States,https://m.media-amazon.com/images/M/MV5BNDBiODVmNzMtMjNkYS00MzQzLWIxNTAtMTlmYmE2MGE1NzZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
The Canyon,2009,R,23 Oct 2009,102 min,Thriller,Richard Harrah,Steve Allrich,"Eion Bailey, Yvonne Strahovski, Will Patton",A survival story about a honeymooning couple who get lost in the wide expanse of the Grand Canyon.,English,United States,https://m.media-amazon.com/images/M/MV5BMTg2NDI2MTQ4MV5BMl5BanBnXkFtZTcwMTY3OTY2Mw@@._V1_SX300.jpg,,,,,
Ghosted,2017,TV-PG,01 Oct 2017,30 min,"Comedy, Crime, Horror",N/A,"Tom Gormican, Kevin Etten","Adam Scott, Craig Robinson, Ally Walker",A skeptical tough ex-cop is forced to team up with a nerdy scientist who is a firm believer in the paranormal. They must help a secret L.A.-based government agency deal with unexplained and paranormal occurrences.,English,United States,https://m.media-amazon.com/images/M/MV5BODMxMDkxMDg2MF5BMl5BanBnXkFtZTgwNjc5MjU5MjI@._V1_SX300.jpg,1,,,,
WALL·E,2008,G,27 Jun 2008,98 min,"Animation, Adventure, Family",Andrew Stanton,"Andrew Stanton, Pete Docter, Jim Reardon","Ben Burtt, Elissa Knight, Jeff Garlin","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","English, Hindi",United States,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,,,,,
Incendiary,2008,R,24 Oct 2008,96 min,"Drama, Romance, Thriller",Sharon Maguire,"Chris Cleave, Sharon Maguire","Michelle Williams, Ewan McGregor, Matthew Macfadyen",A woman's life is forever changed when tragedy strikes at a soccer match.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMjA3NjU1NDgzMV5BMl5BanBnXkFtZTgwODY3MTA2MDE@._V1_SX300.jpg,,,,,
Love Comes Lately,2007,Not Rated,13 Jun 2008,86 min,"Comedy, Drama",Jan Schütte,"Isaac Bashevis Singer, Jan Schütte","Otto Tausig, Rhea Perlman, Barbara Hershey","An 80-year-old man continues to pursue his love life with youthful vigor, risking his relationship with the woman he loves. Based on the short stories by Isaac Bashevis Singer.",English,"Germany, Austria, United States",https://m.media-amazon.com/images/M/MV5BNDIxYjAyNWQtZjI1NS00ZTQ0LThiZTItNTg1ZjYwNmNiYTdkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,,,,,
Break,2019,N/A,14 Feb 2019,85 min,"Adventure, Drama, Thriller",Tigran Sahakyan,"Denis Kosyakov, Alexandr Nazarov, Olga Rud","Irina Antonenko, Andrey Nazimov, Denis Kosyakov","Five young adults, who want to celebrate New Years Eve on top of a mountain, get stuck in a gondola lift. What started out as an adventurous party, soon becomes a fight for survival.","Russian, English",Russia,https://m.media-amazon.com/images/M/MV5BZWU1NmZmYzgtYzZjMC00Y2ExLWI2MDgtZTIyNjQ1M2UwODQyXkEyXkFqcGdeQXVyODIyNTYxNTE@._V1_SX300.jpg,,,,,
Food Beware: The French Organic Revolution,2008,TV-G,16 Oct 2009,112 min,Documentary,Jean-Paul Jaud,Jean-Paul Jaud,Perico Légasse,"For the first time ever, our children are growing up less healthy than we are. As the rate of cancer, infertility and other illnesses linked to environmental factors climbs upward each year, we must ask ourselves: why is this happ...","French, English",France,https://m.media-amazon.com/images/M/MV5BMTYyNzAwNzUwN15BMl5BanBnXkFtZTgwNTgzNjY2MDE@._V1_SX300.jpg,,,,,
Tru Loved,2008,R,28 Feb 2008,102 min,"Comedy, Drama, Romance",Stewart Wade,Stewart Wade,"Najarra Townsend, Joseph Julian Soria, Howard Booth",Tru moves to a conservative suburb where her friendship with the closeted football player is jeopardized when she starts their school's first Gay-Straight Alliance.,English,United States,https://m.media-amazon.com/images/M/MV5BMTY5NTIxMjE4NV5BMl5BanBnXkFtZTcwNDEyNzc5MQ@@._V1_SX300.jpg,,,,,
