Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
The Gift,2015,R,07 Aug 2015,108 min,"Drama, Mystery, Thriller",Joel Edgerton,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton","A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts.",English,"United States, Australia, China",https://m.media-amazon.com/images/M/MV5BNGFmY2UyMmYtNDY1Yi00NTIwLTk1ZDktOGM2OTQwZDk0NjU5XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,,,,,
Madadayo,1993,N/A,17 Apr 1993,134 min,Drama,"Akira Kurosawa, Ishirô Honda","Ishirô Honda, Akira Kurosawa, Hyakken Uchida","Tatsuo Matsumura, Hisashi Igawa, George Tokoro","Following World War II, a retired professor approaching his autumn years finds his quality of life drastically reduced in war-torn Tokyo. Denying despair, he pursues writing and celebrates his birthday with his adoring students.","Japanese, English",Japan,https://m.media-amazon.com/images/M/MV5BZmVhYWNkZjMtYzMyNC00NGNiLTg3ZGUtODQ4MjE4M2U3YjViXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,,,,,
Third World Cop,1999,R,14 Apr 2000,98 min,"Action, Drama, Thriller",Chris Browne,"Suzanne Fenn, Chris Browne, Chris Salewicz","Paul Campbell, Mark Danvers, Carl Bradshaw","A police officer returns to his neighborhood in Kingston, Jamaica to find himself in conflict with his childhood friend who is now the right-hand-man of the local gang-lord in a gun-running racket. Jamaica's highest-grossing film ...",English,Jamaica,https://m.media-amazon.com/images/M/MV5BMTI0NzM1MTQ0NF5BMl5BanBnXkFtZTcwNzcxMDgyMQ@@._V1_SX300.jpg,,,,,
Shikar,1968,Not Rated,N/A,139 min,"Mystery, Thriller",Atma Ram,"Abrar Alvi, Dhruva Chatterjee","Asha Parekh, Dharmendra, Sanjeev Kumar","Manager Ajay Singh find out that a man by the name of Naresh is murdered and inform police inspector Rai, but all evidences are tampered with at the crime scene and as a result the murderer became difficult to trace. From here on ...",Hindi,India,https://m.media-amazon.com/images/M/MV5BMzU0NjYyNzQtOTgxZS00ZmIyLThlNmEtMDY0NmI5YTU5ZjY2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Just Looking,1999,R,23 May 2003,97 min,"Comedy, Drama",Jason Alexander,Marshall Karp,"Richard V. Licata, Marcell Rosenblatt, Ryan Merriman","Finishing 8th grade in 1955 Bronx, sex obsessed Lenny aims to see ""the act of love"" in the summer at his aunt in Queens where he makes friends and learns a thing or two. He meets the cute nurse Hedy.",English,United States,https://m.media-amazon.com/images/M/MV5BM2EyM2ZiYTUtNGU5ZS00OGQyLThkNTItZjRmMWE2NWQyNTEyXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,,,,,
Divine Trash,1998,N/A,18 Jan 1998,97 min,Documentary,Steve Yeager,"Kevin Heffernan, Steve Yeager","John Waters, Pat Waters, John Waters Sr.","The life and times of Baltimore film maker and midnight movie pioneer, John Waters. Intercut with a 1972 interview of Waters are clips from his first films and recent interviews with his parents, his brother, Divine's mom, actors ...",English,United States,https://m.media-amazon.com/images/M/MV5BMTgzMzM1MTI5NF5BMl5BanBnXkFtZTcwOTQxODgyMQ@@._V1_SX300.jpg,,,,,
Shadow Hours,2000,R,20 Jul 2001,95 min,"Drama, Thriller",Isaac H. Eaton,Isaac H. Eaton,"Balthazar Getty, Peter Weller, Rebecca Gayheart","Michael is a recovering alcoholic/drug user. Back on the wagon, he's now responsible for a young, beautiful, and pregnant wife. He's working the graveyard shift at a gas station to support his new family, but the job drives him cr...",English,United States,https://m.media-amazon.com/images/M/MV5BMjE2NzQ3ODI2MV5BMl5BanBnXkFtZTYwNTgwMzg5._V1_SX300.jpg,,,,,
Non-Stop,2014,PG-13,28 Feb 2014,106 min,"Action, Mystery, Thriller",Jaume Collet-Serra,"John W. Richardson, Christopher Roach, Ryan Engle","Liam Neeson, Julianne Moore, Scoot McNairy","An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes.","English, German","United Kingdom, France, United States, Canada",https://m.media-amazon.com/images/M/MV5BOTI3NzcxMjkzMl5BMl5BanBnXkFtZTgwMDY0NTQ0MDE@._V1_SX300.jpg,,,,,
Not of This World,1999,N/A,26 Mar 1999,100 min,Drama,Giuseppe Piccioni,"Giuseppe Piccioni, Gualtiero Rosella, Lucia Maria Zei","Margherita Buy, Silvio Orlando, Carolina Freschi",The rumpled owner of a dry-cleaning firm joins forces with a nun to care for an abandoned baby.,Italian,Italy,https://m.media-amazon.com/images/M/MV5BMTk0MWE2OWYtMDkxNC00NGViLTk1NTAtMzk4OTQzMDczMDFiXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,,,,,
The Little Thief,1988,R,01 Sep 1989,109 min,"Comedy, Drama",Claude Miller,"François Truffaut, Claude de Givray, Claude Miller","Charlotte Gainsbourg, Didier Bezace, Simon de La Brosse","In a small town in post-World-War-II France, an unhappy sixteen-year-old (Janine Castang) tries to escape her dreary situation by any means at her disposal. Three successive friends (Michel Davenne, a married lover; Raoul, a fello...","French, Spanish",France,https://m.media-amazon.com/images/M/MV5BOTEwMTY0NTMtMWJkZi00Njg4LWE0NmQtZTZhZjBkM2I2NWZhXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_SX300.jpg,,,,,
Kestrel's Eye,1998,Not Rated,25 Dec 1998,89 min,Documentary,Mikael Kristersson,N/A,Caisa Persson,"Filmed over several years, it is a wonder-filled portrait of a family of kestrels (European falcons) who live in a church tower above a small Swedish town. The amazing cinematography, nominated for a Swedish Oscar.",None,Sweden,https://m.media-amazon.com/images/M/MV5BM2IyMDQ2ZjUtNGEzYS00OWFkLTllZjMtYjA5MTRhNTkxOTUzXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,,,,,
Kurukshetra,2019,N/A,09 Aug 2019,185 min,"History, War",Naganna,"Rajiv Dinkar, Muniratna Naidu, J.K. Bharavi","Darshan Thoogudeep, Ambarish, V. Ravichandran",The film is based on the epic Mahabharata and poet Ranna's Gadhayuddha's story narrates the events of the Kurukshetra war.,Kannada,India,https://m.media-amazon.com/images/M/MV5BN2JkMzBjNDEtNzM3OS00YTY4LWJlZTUtZGRlNDllMjE1NjBjXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_SX300.jpg,,,,,
Benjamin Smoke,2000,N/A,17 Jun 2000,72 min,Documentary,"Jem Cohen, Peter Sillen","Jem Cohen, Peter Sillen","Benjamin Dickerson, Tim Campion, Brian Halloran","This highly unorthodox documentary follows the crooked path of Benjamin (no last name). He lives in a hidden neighborhood of Atlanta, Georgia called ""Cabbagetown."" Drag-queen, speed-freak, all-around renegade, Benjamin left the st...",English,United States,https://m.media-amazon.com/images/M/MV5BMzM4MDA0MjY2OV5BMl5BanBnXkFtZTcwMTMzMjYxMQ@@._V1_SX300.jpg,,,,,
Burlesk King,1999,N/A,10 Mar 1999,109 min,Drama,Mel Chionglo,Ricardo Lee,"Rodel Velayo, Leonardo Litton, Elizabeth Oropesa","The son of an abusive American father and a Filipina mother, Harry escapes to Manila with vengeance on his mind. After finding work as a Macho Dancer in the city's gay clubs, Harry creates a nurturing circle of friends and finds t...","Filipino, Tagalog, English",Philippines,https://m.media-amazon.com/images/M/MV5BMTIyNDcxMzk0Nl5BMl5BanBnXkFtZTcwMTI5NTE4MQ@@._V1_SX300.jpg,,,,,
Billy Liar,1963,Not Rated,16 Dec 1963,98 min,"Comedy, Drama, Romance",John Schlesinger,"Keith Waterhouse, Willis Hall","Tom Courtenay, Julie Christie, Wilfred Pickles","A lazy, irresponsible young clerk (Sir Tom Courtenay) in provincial Northern England lives in his own fantasy world and makes emotionally immature decisions as he alienates friends and family.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMjA2NzMzZWQtMTY4NC00MjQwLWE3ZmItNDcwOGU2Nzg4M2M2XkEyXkFqcGdeQXVyMzM5NzIwNjM@._V1_SX300.jpg,,,,,
La noce,2012,N/A,01 Mar 2012,23 min,"Short, Drama",Simon Bérubé,Simon Bérubé,"Joseph Bellerose, Pierre-Yves Cardinal, Jean-Claude Grégoire, Marie-Claude Guérin","On the night of their wedding, a couple hits the road.",French,Canada,N/A,,,,,
A Moment of Innocence,1996,Not Rated,09 Apr 1997,78 min,"Comedy, Drama",Mohsen Makhmalbaf,Mohsen Makhmalbaf,"Mirhadi Tayebi, Mohsen Makhmalbaf, Ali Bakhsi","A semi-autobiographical account of Makmahlbaf's experience as a teenager when, as a 17-year-old, he stabbed a policeman at a protest rally. Two decades later, he tracks down the policeman he injured in an attempt to make amends.",Persian,"Iran, France",https://m.media-amazon.com/images/M/MV5BMTY5N2JhNzYtZjFjNS00YTZiLTg1NjktNWYxMDQ3MTRhMDlkXkEyXkFqcGdeQXVyODU1OTc0MzI@._V1_SX300.jpg,,,,,
The Children of Chabannes,1999,Not Rated,16 Jun 1999,93 min,"Documentary, War","Lisa Gossels, Dean Wetherell",N/A,"Norbert Bikales, Wolfie Blumenreich, Rene Castille","In the spirit of Louis Malle's ""Au Revoir les Enfants"" and Steven Spielberg's ""Schindler's List,"" the Emmy® Award-winning film ""The Children of Chabannes"" (93 minutes), has been praised as ""splendid, informative and emotionally in...","English, French",United States,https://m.media-amazon.com/images/M/MV5BNzA5MTgzMDU5MF5BMl5BanBnXkFtZTcwMzA4NDAzMQ@@._V1_SX300.jpg,,,,,
The Saragossa Manuscript,1965,N/A,09 Feb 1965,182 min,"Comedy, Drama, Fantasy",Wojciech Has,"Tadeusz Kwiatkowski, Jan Potocki","Zbigniew Cybulski, Iga Cembrzynska, Elzbieta Czyzewska","Upon finding a book that relates his grandfather's story, an officer ventures through Spain meeting a wide array of characters, most of whom have a story of their own to tell.",Polish,Poland,https://m.media-amazon.com/images/M/MV5BYzZmMjI1MTctOTNkMS00ZTViLWFhMWEtODI5ZWIwMWUxNGIzXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,,,,,
Last Night,2010,R,16 Feb 2011,93 min,"Drama, Romance",Massy Tadjedin,Massy Tadjedin,"Keira Knightley, Sam Worthington, Eva Mendes","The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love.",English,"United States, France",https://m.media-amazon.com/images/M/MV5BNTk1Nzc5OTkwN15BMl5BanBnXkFtZTcwNjEyMTA4NA@@._V1_SX300.jpg,,,,,
Catch Me If You Can,2002,PG-13,25 Dec 2002,141 min,"Biography, Crime, Drama",Steven Spielberg,"Jeff Nathanson, Frank Abagnale Jr., Stan Redding","Leonardo DiCaprio, Tom Hanks, Christopher Walken","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","English, French","United States, Canada",https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,,,,,
Boesman and Lena,2000,Not Rated,04 Apr 2001,90 min,Drama,John Berry,"Athol Fugard, John Berry","Danny Glover, Angela Bassett, Willie Jonah",Intense love and hate bring a man and woman through personal tragedy.,"English, Afrikaans","South Africa, France",https://m.media-amazon.com/images/M/MV5BMjA4MTczMjU2N15BMl5BanBnXkFtZTcwNTEwOTQyMQ@@._V1_SX300.jpg,,,,,
Committed,2000,R,18 Apr 2000,98 min,"Comedy, Drama",Lisa Krueger,Lisa Krueger,"Heather Graham, Casey Affleck, Luke Wilson",A young woman goes in search of her midlife crisis suffering husband who left her.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMzBjZGFkYWYtNTZkMy00NDc3LWJjNWMtZTc2YmRhNzFlN2FhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Lea,1996,N/A,22 May 1997,100 min,"Drama, Romance",Ivan Fíla,"Ivan Fíla, Lubomír Feldek","Lenka Vlasáková, Christian Redl, Hanna Schygulla","51-year-old Herbert Strehlow, a furniture restorer, falls in love with 21-year-old Lea, who has not spoken a word since childhood when her father killed her mother. She bears a striking resemblance to Herbert's dead wife. They get...",Slovak,"Czech Republic, Germany, France",https://m.media-amazon.com/images/M/MV5BMTg4NTYwNTM5NV5BMl5BanBnXkFtZTcwMDc5NzUyMQ@@._V1_SX300.jpg,,,,,
From the Edge of the City,1998,Unrated,24 Jan 1999,94 min,"Crime, Drama",Constantine Giannaris,Constantine Giannaris,"Stathis Papadopoulos, Costas Kotsianidis, Panayiotis Hartomatzidis","A group of Pontian Greek immigrant teenage dreamers dwelling marginalised in the notorious and lustreless wild suburbia, witness the city's repulsive face and an unrelenting world defined by prostitution, drugs, and inevitably, loss.","Greek, Russian",Greece,https://m.media-amazon.com/images/M/MV5BNmIwZTAzMGItNWIyOC00NWVjLWIzZDItYjBkZjdkYjQ4YTM3XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,,,,,
The Boondock Saints,1999,R,21 Jan 2000,108 min,"Action, Thriller",Troy Duffy,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,"English, Spanish, Papiamento, Russian, Latin","United States, Canada",https://m.media-amazon.com/images/M/MV5BNTliMTg0ZTgtNTJiYi00MjFkLThhYTUtNDAwNTliMmVkNjVkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
Praise,1998,N/A,22 Apr 1999,98 min,Drama,John Curran,Andrew McGahan,"Peter Fenton, Sacha Horler, Marta Dusseldorp","An unfocused twentysomething (Peter Fenton) moves in with a former co-worker (Sacha Holder), who is suffering from low self-esteem because of her weight, looks, and a case of eczema. Their relationship is based on unending drink, ...",English,Australia,https://m.media-amazon.com/images/M/MV5BMTIxMjE4ODgwNV5BMl5BanBnXkFtZTcwNjkxNDMzMQ@@._V1_SX300.jpg,,,,,
Drive Me Crazy,1999,PG-13,01 Oct 1999,91 min,"Comedy, Drama, Romance",John Schultz,"Todd Strasser, Rob Thomas","Melissa Joan Hart, Adrian Grenier, Stephen Collins","Nicole and Chase used to be BFFs, then junior high happened. The high school centennial dance is coming but Nicole gets dumped. So does Chase. They stage a relationship to get at their exes. They visit each other's worlds. Love in...",English,United States,https://m.media-amazon.com/images/M/MV5BYWQwMzUzOGQtNjRiMC00M2NhLTg0MWUtZjM1ZGQ3MjM1Yzc4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Gridiron Gang,2006,PG-13,15 Sep 2006,125 min,"Biography, Crime, Drama",Phil Joanou,"Jeff Maguire, Jac Flanders","Dwayne Johnson, Xzibit, L. Scott Caldwell","Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",English,United States,https://m.media-amazon.com/images/M/MV5BNzk4NTAwNTAzN15BMl5BanBnXkFtZTcwNjczODYzMQ@@._V1_SX300.jpg,,,,,
The Weekend,2007,N/A,16 Jun 2007,99 min,Comedy,Michael Todd Kuskin,Michael Todd Kuskin,"Beau Allulli, Daniel Bartkewicz, Theodore Bouloukos","Remember when you were a teenager and every little event seemed like it was of epic importance, like it would influence the rest of your life?",English,United States,https://m.media-amazon.com/images/M/MV5BMTY2NTE4ODM1MV5BMl5BanBnXkFtZTcwMzgyNTE2MQ@@._V1_SX300.jpg,,,,,
Vatel,2000,PG-13,10 May 2000,103 min,"Biography, Drama, History",Roland Joffé,"Jeanne Labrune, Tom Stoppard","Gérard Depardieu, Uma Thurman, Tim Roth","Vatel is the cook of Prince Condé. When the prince invites Louis XIV to hunt, he has to give lavish banquets in order to fall in his favor. But when Vatel falls in love with the king's mistress, love and duty come into conflict.",English,"France, United Kingdom, Belgium",https://m.media-amazon.com/images/M/MV5BMjAzNjQ5NDk1OV5BMl5BanBnXkFtZTYwNDEyMTE5._V1_SX300.jpg,,,,,
La Grande Illusion,2018,N/A,05 Jan 2018,N/A,Comedy,Jill Stark,Jill Stark,"Patrick Bosso, Cindy Cayrasso, Cyril Féraud, Anne Lise Schaich",N/A,French,France,N/A,,,,,
Stigmata,1999,R,10 Sep 1999,103 min,Horror,Rupert Wainwright,"Tom Lazarus, Rick Ramage","Patricia Arquette, Gabriel Byrne, Jonathan Pryce","When a young woman becomes afflicted by stigmata, a priest is sent to investigate her case, which may have severe ramifications for his faith and for the Catholic Church itself.","English, Assyrian Neo-Aramaic, Portuguese, Italian, Aramaic","United States, Mexico",https://m.media-amazon.com/images/M/MV5BMTQwMDA1NzI4OV5BMl5BanBnXkFtZTcwNzM4MjM3NA@@._V1_SX300.jpg,,,,,
Southpaw,2015,R,24 Jul 2015,124 min,"Action, Crime, Drama",Antoine Fuqua,Kurt Sutter,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence","After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",English,"Hong Kong, United States",https://m.media-amazon.com/images/M/MV5BMjI1MTcwODk0MV5BMl5BanBnXkFtZTgwMTgwMDM5NTE@._V1_SX300.jpg,,,,,
Spring Forward,1999,R,01 Apr 2000,110 min,Drama,Tom Gilroy,Tom Gilroy,"Campbell Scott, Ned Beatty, Liev Schreiber",An ex convict befriends an elderly coworker as they both try to find meaning in life and forgiveness for their past.,English,United States,https://m.media-amazon.com/images/M/MV5BMjE3NTcxNDEzOV5BMl5BanBnXkFtZTgwNDIwNDgwMzE@._V1_SX300.jpg,,,,,
What Women Want,2000,PG-13,15 Dec 2000,127 min,"Comedy, Fantasy, Romance",Nancy Meyers,"Josh Goldsmith, Cathy Yuspa, Diane Drake","Mel Gibson, Helen Hunt, Marisa Tomei","A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",English,United States,https://m.media-amazon.com/images/M/MV5BZjUyZWE5YmMtNDA2ZC00NzFlLTg0MzktOTgzYjA2ZWE3NmIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,,,,,
Possible Worlds,2000,N/A,13 Jul 2001,93 min,"Mystery, Sci-Fi, Crime",Robert Lepage,"John Mighton, Robert Lepage, Daniel Brooks","Tilda Swinton, Tom McCamus, Sean McCann","A man lives in parallel worlds, falling in love with the same woman, while the police hunt down a serial killer who steals brains.",English,Canada,https://m.media-amazon.com/images/M/MV5BMTkzNTIwNDYyN15BMl5BanBnXkFtZTcwNjU0OTAyMQ@@._V1_SX300.jpg,,,,,
Wings of Courage,1995,G,18 Sep 1996,40 min,"Adventure, Romance",Jean-Jacques Annaud,"Alain Godard, Jean-Jacques Annaud","Craig Sheffer, Elizabeth McGovern, Tom Hulce","While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",English,"France, United States",https://m.media-amazon.com/images/M/MV5BZWRjOGEyMWEtYmZjMi00MmVmLWE3ZjQtYmJiZTA0MmExYTU5L2ltYWdlXkEyXkFqcGdeQXVyMjI3ODYyNDU@._V1_SX300.jpg,,,,,
L'Atalante,1934,Not Rated,21 Jun 1947,89 min,"Comedy, Drama, Romance",Jean Vigo,"Jean Guinée, Albert Riéra, Jean Vigo","Dita Parlo, Jean Dasté, Gilles Margaritis",Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.,"French, Russian",France,https://m.media-amazon.com/images/M/MV5BMGRkOTA2NjYtMDEyOC00MWUxLTkzMjctZmU0MjVjZTQ1MjZlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,,,,,
The Thomas Crown Affair,1999,R,06 Aug 1999,113 min,"Crime, Romance, Thriller",John McTiernan,"Alan Trustman, Leslie Dixon, Kurt Wimmer","Pierce Brosnan, Rene Russo, Denis Leary","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.","English, German, Polish, French",United States,https://m.media-amazon.com/images/M/MV5BMmU0N2RiNTAtN2U4MS00MWExLTkzNGYtOTVhNmVmZmNlOTUzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,,,,,
One Flew Over the Cuckoo's Nest,1975,R,19 Nov 1975,133 min,Drama,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Michael Berryman","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",English,United States,https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Bootmen,2000,R,05 Oct 2000,95 min,"Comedy, Drama, Romance",Dein Perry,"Steve Worland, Hilary Linstead, Dein Perry","Vaughan Sheffield, Christian Patterson, Lisa Perry",Charismatic tap dancing Sean tries to find a way out of working at the steel mill. When failure brings him home he starts his own dance group wearing hardhats. He must then find inspiration in the steel mill he once tried to escape.,English,"Australia, United States",https://m.media-amazon.com/images/M/MV5BNjNkMjBiN2EtYWNlYi00NWNhLTljMDItOTQzNTMyOGRiOWFiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
Rosie,2018,PG-13,19 Jul 2019,86 min,Drama,Paddy Breathnach,Roddy Doyle,"Sarah Greene, Molly McCann, Darragh Mckenzie",The story of a mother trying to protect her family after their landlord sells their rented home and they become homeless.,English,Ireland,https://m.media-amazon.com/images/M/MV5BZDM4NTIzODEtNWJmMy00ZTZlLTg3NGEtYzAzNDlhNWIxYjliXkEyXkFqcGdeQXVyNDU3MTc0MzY@._V1_SX300.jpg,,,,,
A Room for Romeo Brass,1999,R,04 Feb 2000,90 min,"Comedy, Drama",Shane Meadows,"Robyn Slovo, Paul Fraser, Shane Meadows","Martin Arrowsmith, Dave Blant, Darren Campbell","After stopping 12 y.o. Romeo and Gavin from being beaten up, Morell drives them home and meets Romeo's adult sister and falls in love. The boys ""help"" him in his pursuit.",English,"United Kingdom, Canada",https://m.media-amazon.com/images/M/MV5BNmIxOGRjZjQtNWMyOC00NDExLWIzODItMWQ2MmM0MjNkMzg1XkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg,,,,,
The Specialists,1969,N/A,26 Nov 1969,104 min,Western,Sergio Corbucci,"Sergio Corbucci, Sabatino Ciuffini","Johnny Hallyday, Gastone Moschin, Françoise Fabian","A chain mail-clad gunfighter contends with a pacifist sheriff, a seductive banker, a one-armed Mexican bandit, corrupt businessmen and hippies while searching for the money allegedly stolen by his lynched brother.","Italian, French, Spanish","Italy, France, West Germany",https://m.media-amazon.com/images/M/MV5BZGQxNWQ3NDItYzllNC00MzE2LTg0YjktMDQ1ZGZlNzAzMGQxXkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg,,,,,
The Waiting Game,1998,N/A,27 Jan 2001,95 min,"Drama, Romance",Vic Sarin,"Jane Ann Krentz, Barbara O'Kelly, Peter Lauterman","Chris Potter, Chandra West, Paula Abdul","An engaged woman, who has an art gallery with a friend, receives a package from Mexico sent by her uncle. A lot of people seem to be interested in this package, including a handsome man. Who can be trusted?",English,Canada,https://m.media-amazon.com/images/M/MV5BMTI0MzMzNDI4M15BMl5BanBnXkFtZTcwNjAzOTUyMQ@@._V1_SX300.jpg,,,,,
Just One Time,1998,R,17 Nov 2000,111 min,"Comedy, Drama, Romance",Lane Janger,"Lane Janger, Jennifer Vandever","Lane Janger, Joelle Carter, Guillermo Diaz","When the fiancée of a fireman reluctantly agrees to participate in a ménage-a-trois with another woman, she does so on the condition that he reciprocate the favor with another man. This ultimately puts their impending marriage in ...",English,"Canada, United States",https://m.media-amazon.com/images/M/MV5BMTI4NDY4NjQ1N15BMl5BanBnXkFtZTcwOTYwOTkxMQ@@._V1_SX300.jpg,,,,,
After Life,2019–2022,TV-MA,08 Mar 2019,30 min,"Comedy, Drama",N/A,Ricky Gervais,"Ricky Gervais, Tom Basden, Tony Way","After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BZjdjOWIxMDgtYTgwNS00MjE4LTliZWYtZGI1NDhhZmIyYjM1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,3,,,
Diary of a Chambermaid,1964,Not Rated,09 Mar 1965,97 min,"Crime, Drama",Luis Buñuel,"Octave Mirbeau, Luis Buñuel, Jean-Claude Carrière","Jeanne Moreau, Georges Géret, Michel Piccoli","A sophisticated and self-assured woman from Paris joins a middle-class rural estate as a maid and causes quite a stir among the variously uptight, perverse and violent inhabitants.",French,"France, Italy",https://m.media-amazon.com/images/M/MV5BNDU2NTU3ODYtODY4Ny00N2VlLTlkYTItYTUyNjVhOTYxOWRhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,,,,,
Chunhyang,2000,R,29 Jan 2000,116 min,"Drama, Musical, Romance",Im Kwon-taek,"Sang-hyun Cho, Hye-yun Kang, Kim Myung-gon","Hyo-jeong Lee, Cho Seung-woo, Seong-nyeo Kim","A governor's son falls in love and marries a beautiful girl, the daughter of a courtesan. Their marriage is kept a secret from the governor who would immediately disown him if he found that his son married beneath him.",Korean,South Korea,https://m.media-amazon.com/images/M/MV5BMTg0NTAwNDU0NV5BMl5BanBnXkFtZTcwMjgxOTQxMQ@@._V1_SX300.jpg,,,,,
Pop,2009,Not Rated,04 Apr 2010,130 min,"Drama, History, War",Vladimir Khotinenko,N/A,"Sergey Makovetskiy, Nina Usatova, Elizaveta Arzamasova",Father Alexander is trying to maintain peaceful life for his church amidst the Nazi occupation during WWII.,"Russian, German, Latvian",Russia,https://m.media-amazon.com/images/M/MV5BNTg4MjM2ODk3M15BMl5BanBnXkFtZTcwMjE5ODIwMw@@._V1_SX300.jpg,,,,,
Khiladi 420,2000,Not Rated,29 Dec 2000,157 min,"Action, Romance, Thriller",Neeraj Vora,"Uttam Gada, Neeraj Vora","Akshay Kumar, Mahima Chaudhry, Antara Mali","Dev, a conman, gets killed by his wife Ritu, after she learns that the former is a debt-ridden thug who married her only to repay his debts. Her life turns upside down when she meets Anand, Dev's identical twin brother.",Hindi,N/A,https://m.media-amazon.com/images/M/MV5BMTk2ODYzMTM4M15BMl5BanBnXkFtZTcwODY2ODgzMQ@@._V1_SX300.jpg,,,,,
"Two Women, Two Men",1998,N/A,05 Mar 1998,93 min,Comedy,Vivian Naefe,"Vivian Naefe, Walter Kärger, Barbara Jago","Heino Ferch, Aglaia Szyszkowitz, Gedeon Burkhard","Nick and Charlotte are a married couple. As both are more than busy earning money, there is no time for love or sex - only Tuesdays. Soon, Charlotte finds a lover, Luis, who is an unsuccessful, married artist. He and his wife Eva ...",German,Germany,https://m.media-amazon.com/images/M/MV5BMjE3MjExODUxMF5BMl5BanBnXkFtZTcwNTMyODcxMQ@@._V1_SX300.jpg,,,,,
The Art of Amália,2000,Not Rated,08 Dec 2000,90 min,"Documentary, Biography",Bruno de Almeida,"Frank Coelho, Vítor Pavão dos Santos, Artur Ribeiro","Amália Rodrigues, John Ventimiglia, Maria de Medeiros",Documentary about the life and art of legendary singer Amália Rodrigues (1920-1999).,"English, Portuguese, Spanish, French, Italian, Neapolitan","Portugal, United States",https://m.media-amazon.com/images/M/MV5BMTk1ODQ2ODkyMV5BMl5BanBnXkFtZTYwMzkwNDk5._V1_SX300.jpg,,,,,
