Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons
Spirit Untamed,2021,PG,04 Jun 2021,88 min,"Animation, Adventure, Comedy","Elaine Bogan, Ennio Torresan","Aury Wallington, Kristin Hahn, Katherine Nolfi","Isabela Merced, Marsai Martin, Mckenna Grace",Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,English,"United States, Japan",https://m.media-amazon.com/images/M/MV5BMDVlZTEwMTItNmE4Zi00ZGFhLWI4NjgtMDdiZTA5NDdmNWYyXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
The Green Knight,2021,R,30 Jul 2021,130 min,"Adventure, Drama, Fantasy",David Lowery,"David Lowery, The Gawain Poet","Dev Patel, Alicia Vikander, Joel Edgerton",A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,English,"United States, Canada, Ireland",https://m.media-amazon.com/images/M/MV5BMjMxNTdiNWMtOWY0My00MjM4LTkwNzMtOGI0YThhN2Q4M2I4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
The King's Man,2021,R,22 Dec 2021,131 min,"Action, Adventure, Thriller",Matthew Vaughn,"Matthew Vaughn, Karl Gajdusek, Mark Millar","Ralph Fiennes, Gemma Arterton, Rhys Ifans","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.","English, Latin, German, French, Russian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMDEzZDY2ZDktNTlmOS00NThjLThkNTEtMjE5MzI5NWEwZmRjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,,
The French Dispatch,2021,R,22 Oct 2021,107 min,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Roman Coppola, Hugo Guinness","Benicio Del Toro, Adrien Brody, Tilda Swinton","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","English, French","Germany, United States",https://m.media-amazon.com/images/M/MV5BNmQxZTNiODYtNzBhYy00MzVlLWJlN2UtNTc4YWZjMDIwMmEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
The Marksman,2021,PG-13,15 Jan 2021,108 min,"Action, Drama",Robert Lorenz,"Chris Charles, Danny Kravitz, Robert Lorenz","Katheryn Winnick, Liam Neeson, Teresa Ruiz",A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BODdlNThhMTUtNmU1OS00ZjM3LWE1ZjMtOWViN2RhYWRiZTg5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,,
The Unholy,2021,PG-13,02 Apr 2021,99 min,"Drama, Horror, Mystery",Evan Spiliotopoulos,"Evan Spiliotopoulos, James Herbert","Jeffrey Dean Morgan, Cricket Brown, William Sadler","A hearing-impaired girl is visited by the Virgin Mary and can suddenly hear, speak, and heal the sick. As people flock to witness her miracles, terrifying events unfold. Are they the work of the Virgin Mary or something much more ...","English, American Sign , Latin",United States,https://m.media-amazon.com/images/M/MV5BYzljZGEyNjYtM2Q0NC00NWFlLWE3NDktYmZjNjg0NDFlNDc4XkEyXkFqcGdeQXVyNDU5MTU4ODU@._V1_SX300.jpg,,
The Little Things,2021,R,29 Jan 2021,128 min,"Crime, Drama, Mystery",John Lee Hancock,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","English, Spanish, Arabic",United States,https://m.media-amazon.com/images/M/MV5BOGFlNTdmYWQtM2IzMi00YTY3LTlmMDQtZDI5NGQ5MjYzZmEwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,,
Dear Evan Hansen,2021,PG-13,24 Sep 2021,137 min,"Drama, Musical",Stephen Chbosky,"Steven Levenson, Benj Pasek, Justin Paul","Ben Platt, Julianne Moore, Kaitlyn Dever","Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high school senior with Social Anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate.",English,"United States, Japan, China",https://m.media-amazon.com/images/M/MV5BYzhhM2YzN2EtNjUwOS00MmU4LTk0YzEtZjUwNGM1YjE0NjVhXkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_SX300.jpg,,
King Richard,2021,PG-13,19 Nov 2021,144 min,"Biography, Drama, Sport",Reinaldo Marcus Green,Zach Baylin,"Will Smith, Aunjanue Ellis, Jon Bernthal",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,English,United States,https://m.media-amazon.com/images/M/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
Stillwater,2021,R,30 Jul 2021,139 min,"Crime, Drama, Thriller",Tom McCarthy,"Tom McCarthy, Marcus Hinchey, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin","A father travels from Oklahoma to France to help his estranged daughter, who is in prison for a murder she claims she didn't commit.","English, French",United States,https://m.media-amazon.com/images/M/MV5BN2IzMTUyMDUtZGJmZC00YWMzLWFhMGMtZjQwMTkzMzViMjFkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Malignant,2021,R,10 Sep 2021,111 min,"Crime, Horror, Mystery",James Wan,"James Wan, Ingrid Bisu, Akela Cooper","Annabelle Wallis, Maddie Hasson, George Young","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",English,"United States, China",https://m.media-amazon.com/images/M/MV5BYTc0NWIwOTYtNzEwYi00YmUyLTlmYWYtYjJiZjRjN2RjMjAxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Christmas with the Chosen: The Messengers,2021,Not Rated,01 Dec 2021,123 min,Music,"Dallas Jenkins, Jacob Schwarz, Aaron Edson",N/A,"Austin Reed Alleman, Sara Anne, Alican Barlas","Artists perform new and classic Christmas songs from the set of ""The Chosen.""",N/A,United States,https://m.media-amazon.com/images/M/MV5BMDhjNDA1ZTgtODkyMi00NGM5LWI5ODMtYTZkN2RmY2E0MWIyXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,,
Chaos Walking,2021,PG-13,05 Mar 2021,109 min,"Action, Adventure, Fantasy",Doug Liman,"Patrick Ness, Christopher Ford","Tom Holland, Daisy Ridley, Demián Bichir",Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.,English,"United States, Canada, Hong Kong, Luxembourg",https://m.media-amazon.com/images/M/MV5BYTcxYTk3MWQtZThlMS00ZjQ0LTg0NjktNGVkNWM2MTAyYWJmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
The Last Duel,2021,R,15 Oct 2021,152 min,"Action, Drama, History",Ridley Scott,"Nicole Holofcener, Ben Affleck, Matt Damon","Matt Damon, Adam Driver, Jodie Comer",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,"English, German, French, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BZGExZTUzYWQtYWJjZi00OTI4LTk4OGYtNTA2YzcwMmNiZTMxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Antlers,2021,R,29 Oct 2021,99 min,"Drama, Horror, Mystery",Scott Cooper,"Henry Chaisson, Nick Antosca, Scott Cooper","Keri Russell, Jesse Plemons, Jeremy T. Thomas","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.","English, Ojibwa","Mexico, United States",https://m.media-amazon.com/images/M/MV5BY2UzODAyNjktN2MwYy00M2RkLThiOTEtMjU1MTgxY2EzM2YyXkEyXkFqcGdeQXVyODk5MDA0MDU@._V1_SX300.jpg,,
Cry Macho,2021,PG-13,17 Sep 2021,104 min,"Drama, Western",Clint Eastwood,"Nick Schenk, N. Richard Nash","Clint Eastwood, Dwight Yoakam, Daniel V. Graulau","A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man.","English, Spanish, American Sign ",United States,https://m.media-amazon.com/images/M/MV5BOGQ5OTBkNzAtYWQxYy00YjIxLWJkNTAtNTM2NDMxYzdkZDVmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Monster Hunter,2020,PG-13,18 Dec 2020,103 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka","Milla Jovovich, Tony Jaa, Ron Perlman","When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",English,"Germany, United States, Japan, China, South Africa, Canada",https://m.media-amazon.com/images/M/MV5BOGU3NTFmNjYtODc3Ny00MWEzLWI3M2ItZjE3NDgwMTI0MzkzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Last Night in Soho,2021,R,29 Oct 2021,116 min,"Drama, Horror, Mystery",Edgar Wright,"Edgar Wright, Krysty Wilson-Cairns","Thomasin McKenzie, Anya Taylor-Joy, Matt Smith","An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into somethin...",English,"United Kingdom, United States, China",https://m.media-amazon.com/images/M/MV5BZjgwZDIwY2MtNGZlNy00NGRlLWFmNTgtOTBkZThjMDUwMGJhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
News of the World,2020,PG-13,25 Dec 2020,118 min,"Action, Adventure, Drama",Paul Greengrass,"Paul Greengrass, Luke Davies, Paulette Jiles","Tom Hanks, Helena Zengel, Tom Astor","A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","English, North American Indian, German","United States, China",https://m.media-amazon.com/images/M/MV5BMDNlNmVlNDItMjE3Yi00ZTA3LWIyOTktNDhhMGFlZjk5ZDQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,,
The Many Saints of Newark,2021,R,01 Oct 2021,120 min,"Crime, Drama",Alan Taylor,"David Chase, Lawrence Konner","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.","English, Italian, Latin",United States,https://m.media-amazon.com/images/M/MV5BYmQzNmY3YzItOTE3OC00NGZjLTkwZDYtOWVmM2QyMzhiYTgwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
Dazed and Confused,1993,R,24 Sep 1993,103 min,Comedy,Richard Linklater,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey",The adventures of high school and junior high students on the last day of school in May 1976.,English,United States,https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_SX300.jpg,,
Nightmare Alley,2021,R,17 Dec 2021,150 min,"Crime, Drama, Thriller",Guillermo del Toro,"Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette",A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.,"English, French","United States, Mexico, Canada",https://m.media-amazon.com/images/M/MV5BOTI4NDhhNGEtZjQxZC00ZTRmLThmZTctOGJmY2ZlOTc0ZGY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
The Protégé,2021,R,20 Aug 2021,109 min,"Action, Thriller",Martin Campbell,Richard Wenk,"Michael Keaton, Maggie Q, Samuel L. Jackson","Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNGQ2MTQ3ZjQtZmRjMS00ZDJmLTlkYWQtOWVhODllYjJiNGUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,,
Those Who Wish Me Dead,2021,R,14 May 2021,100 min,"Action, Drama, Thriller",Taylor Sheridan,"Michael Koryta, Charles Leavitt, Taylor Sheridan","Angelina Jolie, Nicholas Hoult, Finn Little",A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all.,English,"Canada, United States",https://m.media-amazon.com/images/M/MV5BMDAxMmQ0NTAtNDllNC00ZjE2LTlkNjUtMmExNmY0MmNkMDQ0XkEyXkFqcGdeQXVyNzYyOTM1ODI@._V1_SX300.jpg,,
The Night House,2020,R,20 Aug 2021,107 min,"Horror, Mystery, Thriller",David Bruckner,"Ben Collins, Luke Piotrowski","Rebecca Hall, Sarah Goldberg, Vondie Curtis-Hall",A widow begins to uncover her recently deceased husband's disturbing secrets.,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BZmIwNjJhOGYtNDcyNi00Yjc4LThiNTktMDM2ZjFhM2YxMTljXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,,
Spencer,2021,R,05 Nov 2021,117 min,"Biography, Drama",Pablo Larraín,Steven Knight,"Kristen Stewart, Timothy Spall, Sally Hawkins","Diana Spencer, struggling with mental-health problems during her Christmas holidays with the Royal Family at their Sandringham estate in Norfolk, England, decides to end her decade-long marriage to Prince Charles.",English,"United Kingdom, Germany, United States, Chile",https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,,
Belfast,2021,PG-13,12 Nov 2021,98 min,"Biography, Drama",Kenneth Branagh,Kenneth Branagh,"Jude Hill, Lewis McAskie, Caitríona Balfe",A young boy and his working-class Belfast family experience the tumultuous late 1960s.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BODMwYTYyY2ItOWQ5Yi00OTI1LTllYTQtYTdlNWM4YzJhYTM0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,,
The Courier,2020,PG-13,19 Mar 2021,112 min,"Drama, History, Thriller",Dominic Cooke,Tom O'Connor,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan",Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,"English, Russian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BYjg4YTJlNzMtY2U0OC00N2FjLWI0ZTgtNGM1NDRhMWNhZmRkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,,
Licorice Pizza,2021,R,25 Dec 2021,133 min,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","English, Japanese, Spanish","United States, Canada",https://m.media-amazon.com/images/M/MV5BYjkwMzIxYzMtOTVkMS00NDQxLThkMjItNzgxN2RiNjdlNTliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,
Judas and the Black Messiah,2021,R,12 Feb 2021,126 min,"Biography, Drama, History",Shaka King,"Will Berson, Shaka King, Kenneth Lucas","LaKeith Stanfield, Daniel Kaluuya, Jesse Plemons","Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.",English,United States,https://m.media-amazon.com/images/M/MV5BMjBjYjBjNTUtOTg0Ni00Yzk2LTg1NWMtNjI2ODk2YjJmZGU0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Promising Young Woman,2020,R,25 Dec 2020,113 min,"Crime, Drama, Mystery",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
Copshop,2021,R,17 Sep 2021,107 min,"Action, Thriller",Joe Carnahan,"Kurt McLeod, Joe Carnahan, Mark Williams","Gerard Butler, Frank Grillo, Alexis Louder","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",English,United States,https://m.media-amazon.com/images/M/MV5BMTZjZWYzYjMtMmNlYi00MTdkLWI4OTMtMmVhM2QzZjZiZTZiXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,,
Zola,2020,R,30 Jun 2021,86 min,"Comedy, Crime, Drama",Janicza Bravo,"Janicza Bravo, Jeremy O. Harris, A'Ziah King","Taylour Paige, Riley Keough, Nicholas Braun",A stripper named Zola embarks on a wild road trip to Florida.,English,United States,https://m.media-amazon.com/images/M/MV5BNjNjMWJhYTktZDk5Ny00OWM3LTlmYzYtYmEwMDM3NGYwNmUxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
Separation,2021,R,30 Apr 2021,107 min,"Drama, Horror, Mystery",William Brent Bell,"Nick Amadeus, Josh Braun","Rupert Friend, Violet McGraw, Madeline Brewer",A young girl finds solace in her artist father and the ghost of her dead mother.,English,United States,https://m.media-amazon.com/images/M/MV5BN2QxMjIxNDYtZGRiOS00MjdmLWI4YTItZDQ4YzI2ODFiODU3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,,
Boogie,2021,R,05 Mar 2021,90 min,"Drama, Sport",Eddie Huang,Eddie Huang,"Taylor Takahashi, Pamelyn Chee, Jorge Lendeborg Jr.","Coming-of-age story of Alfred ""Boogie"" Chin, a basketball phenom living in Queens, New York, who dreams of one day playing in the NBA. While his parents pressure him to focus on earning a scholarship to an elite college, Boogie mu...",English,United States,https://m.media-amazon.com/images/M/MV5BZTQwNDNlMmEtMmU4Mi00OGE5LWE0ZDAtYzU3YTc3MzJjM2ZlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
A Journal for Jordan,2021,PG-13,25 Dec 2021,131 min,Drama,Denzel Washington,"Virgil Williams, Charles Monroe King, Dana Canedy","Michael B. Jordan, Chanté Adams, Jalon Christian","1st Sgt. Charles Monroe King, before he is killed in action in Baghdad, authors a journal for his son intended to tell him how to live a decent life despite growing up without a father.",English,United States,https://m.media-amazon.com/images/M/MV5BYjU4MmFlODMtYjE2OC00OWQ2LWIwNDctMTQ4MmZhMzdhMWE2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,,
Reminiscence,2021,PG-13,20 Aug 2021,116 min,"Mystery, Romance, Sci-Fi",Lisa Joy,Lisa Joy,"Hugh Jackman, Rebecca Ferguson, Thandiwe Newton","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth abou...","English, Mandarin, Spanish",United States,https://m.media-amazon.com/images/M/MV5BODBkMTNmMmQtYTNlMy00OTRhLWE5MzgtYTZlMTUyYzY1MzkzXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,,
12 Mighty Orphans,2021,PG-13,18 Jun 2021,118 min,"History, Sport",Ty Roberts,"Jim Dent, Ty Roberts, Lane Garrison","Luke Wilson, Vinessa Shaw, Wayne Knight","Haunted by his mysterious past, a devoted high-school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",English,United States,https://m.media-amazon.com/images/M/MV5BZWMxNzA1NWEtYjgwMC00ZjkwLTljYjYtN2E3ZWIzODJlN2Y4XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_SX300.jpg,,
Fatale,2020,R,18 Dec 2020,102 min,Thriller,Deon Taylor,David Loughery,"Hilary Swank, Michael Ealy, Mike Colter","After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",English,United States,https://m.media-amazon.com/images/M/MV5BZmI2OThhMmYtZjVjOC00NWE3LWIwOGItMWM1MTEzMGNiOTM4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Pig,2021,R,16 Jul 2021,92 min,"Drama, Mystery",Michael Sarnoski,"Vanessa Block, Michael Sarnoski","Nicolas Cage, Alex Wolff, Adam Arkin",A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.,"English, Persian","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BOTc2NjRmN2QtMGY1Ny00MTc2LWJmMWUtZmViOTkyNjk2NGExXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Voyagers,2021,PG-13,09 Apr 2021,108 min,"Adventure, Sci-Fi, Thriller",Neil Burger,Neil Burger,"Colin Farrell, Tye Sheridan, Lily-Rose Depp","A crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not.",English,"United States, Czech Republic, Romania, United Kingdom",https://m.media-amazon.com/images/M/MV5BZDIzODQyODQtYzIyYy00MDE5LWJmZjMtMDRmYTRkNzAyZjAzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,,
Minari,2020,PG-13,12 Feb 2021,115 min,Drama,Lee Isaac Chung,Lee Isaac Chung,"Steven Yeun, Yeri Han, Alan Kim",A Korean family starts a farm in 1980s Arkansas.,"Korean, English",United States,https://m.media-amazon.com/images/M/MV5BNWEzOTNjNDgtZDhhYS00ODAxLWIzNGMtYjU3OGZhYmI3ZDU4XkEyXkFqcGdeQXVyMTAzNjk5MDI4._V1_SX300.jpg,,
Dream Horse,2020,PG,21 May 2021,113 min,"Biography, Comedy, Drama",Euros Lyn,Neil McKay,"Toni Collette, Owen Teale, Alan David","Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racin...",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BOTQ5MmRlYWItZmNiYS00ZmE5LTg4NjAtZjZjZjNjYTRhMDY1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
Here Today,2021,PG-13,07 May 2021,117 min,"Comedy, Drama",Billy Crystal,"Alan Zweibel, Billy Crystal","Billy Crystal, Chad Jennings, Dierdre Friel","When veteran comedy writer Charlie Burnz meets New York street singer Emma Payge, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust.",English,United States,https://m.media-amazon.com/images/M/MV5BODdjZGY0NzgtZjZjMS00NTQ2LWI4ZDYtNmY5MTk0MmY3ZDQ4XkEyXkFqcGdeQXVyMTA3MzQ4MTg0._V1_SX300.jpg,,
Finding You,2020,PG,14 May 2021,119 min,"Drama, Romance",Brian Baugh,"Jenny B. Jones, Brian Baugh","Rose Reid, Jedidiah Goodacre, Katherine McNamara",Violinist Finley Sinclair travels to an Irish coastal village to begin her semester studying abroad. At the B&amp;B run by her host family she encounters the gregarious and persistent heartthrob movie star Beckett Rush.,English,United States,https://m.media-amazon.com/images/M/MV5BNzk3ZWRiMjMtYWNhZS00N2U0LWI2YTYtMDliMzU5ZWZjZWFmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,,
Lamb,2021,R,24 Sep 2021,106 min,"Drama, Fantasy, Horror",Valdimar Jóhannsson,"Sjón, Valdimar Jóhannsson","Noomi Rapace, Hilmir Snær Guðnason, Björn Hlynur Haraldsson",A childless couple discovers a mysterious newborn on their farm in Iceland.,Icelandic,"Iceland, Sweden, Poland",https://m.media-amazon.com/images/M/MV5BNzYzZTI2YmQtYmZlOS00NDI0LTg5MTktODJkNzc2Yzg0ZmMxXkEyXkFqcGdeQXVyNTQwOTY1MTg@._V1_SX300.jpg,,
The Card Counter,2021,R,10 Sep 2021,111 min,"Crime, Drama, Thriller",Paul Schrader,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan","Redemption is the long game in Paul Schrader's THE CARD COUNTER. Told with Schrader's trademark cinematic intensity, the revenge thriller tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his p...",English,"United States, United Kingdom, China, Sweden",https://m.media-amazon.com/images/M/MV5BNTMyNzQ4MmUtMmJiYy00YjlmLWJiMzktNjc1MGNlMzBjYjhiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,,
